# id X_IMAGE Y_IMAGE X_WORLD Y_WORLD FLUX_AUTO_160 FLUXERR_AUTO_160 FLUX_RADIUS_1 FLUX_RADIUS_2 EA_ERR_105 EA_ERR_125 EA_ERR_140 EA_ERR_160 EA_ERR_435 EA_ERR_606 EA_ERR_814 EA_ERR_K FLUXERR_APER_606 FLUXERR_APER_125 FLUXERR_APER_140 FLUXERR_APER_814 FLUXERR_APER_K FLUXERR_APER_435 FLUXERR_APER_160 FLUXERR_APER_105 FLUX_APER_606 FLUX_APER_125 FLUX_APER_140 FLUX_APER_814 FLUX_APER_K FLUX_APER_435 FLUX_APER_160 FLUX_APER_105
38 2808.98 3762.0 3.5806795145 -30.3765582102 0.0269581 0.00673935 3.20604 4.35118 0.00668 0.00485 0.00429 0.00939 0.00341 0.00325 0.00262 0.01699 0.00232 0.00295 0.00342 0.00179 0.00581 0.00209 0.00346 0.00267 -0.00462 0.01745 0.02635 -0.00533 -0.03481 -0.00457 0.0053 0.01707
39 3194.45 3761.88 3.57323283705 -30.3765598941 0.0351379 0.00368188 5.0793 7.14552 0.00377 0.0038 0.00242 0.0046 0.00339 0.0033 0.0027 0.01751 0.00239 0.00189 0.00192 0.00183 0.00583 0.00216 0.00189 0.00154 -0.00135 0.00729 0.00477 -0.00472 0.00884 -0.00472 0.01761 0.00528
40 2828.94 3761.59 3.58029391273 -30.3765651167 0.0836064 0.0101639 6.16191 7.75129 0.00504 0.00488 0.00324 0.00609 0.00312 0.00321 0.00264 0.01709 0.00234 0.00263 0.00271 0.00179 0.00582 0.00212 0.00271 0.00218 -0.00242 0.0114 0.02578 0.003 0.02527 0.0013 0.01793 0.02243
41 3338.17 3732.38 3.57045625592 -30.3770514447 28.8025 0.478528 15.0 39.4887 1.76602 1.30201 1.13458 2.2588 0.00458 0.00463 0.00389 0.02519 0.00358 0.0 0.0 0.00317 0.00582 0.00318 0.1088 0.0 0.3745 0.02264 0.03408 0.7644 4.57142 0.07347 2.06344 0.00923
42 3332.88 3746.49 3.57055850523 -30.3768161546 26.6671 0.355969 15.3156 26.1229 1.76602 1.30201 1.13458 2.2588 0.00462 0.00453 0.00389 0.02523 0.00347 0.0 0.0 0.00278 0.00584 0.00313 0.04033 0.0 0.07259 0.03561 0.01269 0.16247 1.62659 0.01156 2.43656 0.05949
43 3331.01 3735.3 3.57059455282 -30.3770027171 8.48269 0.219985 7.02615 9.45887 1.76602 1.30201 1.13458 2.2588 0.00491 0.00472 0.00383 0.02481 0.0041 0.0 0.0 0.00466 0.00581 0.00347 0.14666 0.0 2.21463 0.0169 0.03828 4.47797 13.91805 0.47779 2.02432 -0.03145
44 2642.97 3751.87 3.58388671062 -30.3767270942 0.455807 0.0370769 9.38625 13.5086 1.76602 1.30201 1.13458 2.2588 0.00324 0.00323 0.00262 0.017 0.00234 0.0 0.0 0.00179 0.00581 0.00212 0.01466 0.0 -0.0006 0.00154 0.0033 0.00184 -0.03592 -0.00092 0.08216 0.0027
45 2826.0 3753.53 3.58035084136 -30.3766993711 0.00532007 0.00389138 0.850079 1.15599 0.00484 0.00471 0.00311 0.00575 0.00328 0.00329 0.00259 0.0168 0.00234 0.0026 0.00246 0.0018 0.00582 0.00212 0.00236 0.00195 0.00339 0.02109 0.02332 0.00764 0.02459 -0.00833 0.01406 0.0172
46 2898.73 3748.98 3.57894564449 -30.3767751355 0.056654 0.00508387 4.44646 8.35565 0.00465 0.00494 0.00299 0.00577 0.0032 0.00316 0.00263 0.01706 0.00233 0.00258 0.00243 0.0018 0.00581 0.00211 0.00236 0.00195 0.02226 0.02745 0.0428 0.02643 0.05189 0.03542 0.03666 0.02471
47 2893.9 3745.38 3.57903907899 -30.3768351825 0.0694156 0.00425369 4.00392 8.14612 0.00461 0.00452 0.00296 0.00621 0.00322 0.00314 0.00261 0.01691 0.00232 0.00262 0.00246 0.0018 0.00582 0.0021 0.00236 0.00196 0.03232 0.03803 0.05275 0.02958 0.01023 0.02864 0.04923 0.03004
48 2815.45 3751.0 3.58055463055 -30.3767415733 0.0116329 0.00441975 1.69497 2.78899 0.00487 0.00486 0.00313 0.00562 0.00333 0.0032 0.0026 0.01684 0.00234 0.00259 0.00246 0.0018 0.00582 0.00212 0.00238 0.00197 0.00563 0.01119 0.01245 0.01398 0.00765 -9e-05 0.0124 0.01098
49 3243.86 3685.86 3.57227819701 -30.3778268319 0.0958998 0.00633839 8.83699 12.2889 0.00365 0.00344 0.00234 0.00409 0.00337 0.00339 0.00268 0.0174 0.00252 0.00183 0.00175 0.00189 0.00583 0.00228 0.00169 0.00139 0.00247 0.01741 0.0197 0.00638 0.03967 -0.00076 0.02062 0.01534
